subject_code,subject_name,subject_type
BCSE-501,Data Structure and Algorithms,Theory
BCSE-501L,Data Structure and Algorithms Lab,Lab
BCSE-502,Software Engineering,Theory
BCSE-502L,Software Engineering Lab,Lab
BCSE-503,Database Management System,Theory
BCSE-503L,Database Management System Lab,Lab
BCSE-504,Object Oriented Programming Using JAVA,Theory
BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab
BCSE-505,Discrete Structures,Theory
BCSE-854,Introduction to Generative AI Models,Theory
BCSE-854L,Introduction to Generative AI Models Lab,Lab
BCSE-855,Natural Language Processing with Transformers,Theory
BCSE-855L,Natural Language Processing with Transformers Lab,Lab
BCSE-856,Computer Vision,Theory
BMAT-003C,Statistical Techniques,Theory
BHUM-118,Human Value & Ethics,Theory
BET-I,Employability Training-I,Training
