semester,section,display_name
3,A1,Semester 3 - Section A1
3,A2,Semester 3 - Section A2
3,B1,Semester 3 - Section B1
3,B2,Semester 3 - Section B2
3,C1,Semester 3 - Section C1
3,C2,Semester 3 - Section C2
3,D1,Semester 3 - Section D1
3,D2,Semester 3 - Section D2
3,E1,Semester 3 - Section E1
3,E2,Semester 3 - Section E2
3,F1,Semester 3 - Section F1
3,F2,Semester 3 - Section F2
3,G1,Semester 3 - Section G1
3,G2,Semester 3 - Section G2
3,H1,Semester 3 - Section H1
3,H2,Semester 3 - Section H2
3,I1,Semester 3 - Section I1
3,I2,Semester 3 - Section I2
3,J1,Semester 3 - Section J1
3,J2,Semester 3 - Section J2
3,K1,Semester 3 - Section K1
3,K2,Semester 3 - Section K2
3,L1,Semester 3 - Section L1
3,L2,Semester 3 - Section L2
