semester,section,subject_code,subject_name,subject_type,teacher_name,room
3,A1,BCSE-501,Data Structure and Algorithms,Theory,,
3,A1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,A1,BCSE-502,Software Engineering,Theory,,
3,A1,BCSE-502L,Software Engineering Lab,Lab,,
3,A1,BCSE-503,Database Management System,Theory,,
3,A1,BCSE-503L,Database Management System Lab,Lab,,
3,A1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,A1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,A1,BCSE-505,Discrete Structures,Theory,,
3,A1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,A1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,A1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,A1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,A1,BCSE-856,Computer Vision,Theory,,
3,A1,BMAT-003C,Statistical Techniques,Theory,,
3,A1,BHUM-118,Human Value & Ethics,Theory,,
3,A1,BET-I,Employability Training-I,Training,,
3,A2,BCSE-501,Data Structure and Algorithms,Theory,,
3,A2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,A2,BCSE-502,Software Engineering,Theory,,
3,A2,BCSE-502L,Software Engineering Lab,Lab,,
3,A2,BCSE-503,Database Management System,Theory,,
3,A2,BCSE-503L,Database Management System Lab,Lab,,
3,A2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,A2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,A2,BCSE-505,Discrete Structures,Theory,,
3,A2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,A2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,A2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,A2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,A2,BCSE-856,Computer Vision,Theory,,
3,A2,BMAT-003C,Statistical Techniques,Theory,,
3,A2,BHUM-118,Human Value & Ethics,Theory,,
3,A2,BET-I,Employability Training-I,Training,,
3,B1,BCSE-501,Data Structure and Algorithms,Theory,,
3,B1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,B1,BCSE-502,Software Engineering,Theory,,
3,B1,BCSE-502L,Software Engineering Lab,Lab,,
3,B1,BCSE-503,Database Management System,Theory,,
3,B1,BCSE-503L,Database Management System Lab,Lab,,
3,B1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,B1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,B1,BCSE-505,Discrete Structures,Theory,,
3,B1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,B1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,B1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,B1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,B1,BCSE-856,Computer Vision,Theory,,
3,B1,BMAT-003C,Statistical Techniques,Theory,,
3,B1,BHUM-118,Human Value & Ethics,Theory,,
3,B1,BET-I,Employability Training-I,Training,,
3,B2,BCSE-501,Data Structure and Algorithms,Theory,,
3,B2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,B2,BCSE-502,Software Engineering,Theory,,
3,B2,BCSE-502L,Software Engineering Lab,Lab,,
3,B2,BCSE-503,Database Management System,Theory,,
3,B2,BCSE-503L,Database Management System Lab,Lab,,
3,B2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,B2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,B2,BCSE-505,Discrete Structures,Theory,,
3,B2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,B2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,B2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,B2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,B2,BCSE-856,Computer Vision,Theory,,
3,B2,BMAT-003C,Statistical Techniques,Theory,,
3,B2,BHUM-118,Human Value & Ethics,Theory,,
3,B2,BET-I,Employability Training-I,Training,,
3,C1,BCSE-501,Data Structure and Algorithms,Theory,,
3,C1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,C1,BCSE-502,Software Engineering,Theory,,
3,C1,BCSE-502L,Software Engineering Lab,Lab,,
3,C1,BCSE-503,Database Management System,Theory,,
3,C1,BCSE-503L,Database Management System Lab,Lab,,
3,C1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,C1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,C1,BCSE-505,Discrete Structures,Theory,,
3,C1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,C1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,C1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,C1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,C1,BCSE-856,Computer Vision,Theory,,
3,C1,BMAT-003C,Statistical Techniques,Theory,,
3,C1,BHUM-118,Human Value & Ethics,Theory,,
3,C1,BET-I,Employability Training-I,Training,,
3,C2,BCSE-501,Data Structure and Algorithms,Theory,,
3,C2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,C2,BCSE-502,Software Engineering,Theory,,
3,C2,BCSE-502L,Software Engineering Lab,Lab,,
3,C2,BCSE-503,Database Management System,Theory,,
3,C2,BCSE-503L,Database Management System Lab,Lab,,
3,C2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,C2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,C2,BCSE-505,Discrete Structures,Theory,,
3,C2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,C2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,C2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,C2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,C2,BCSE-856,Computer Vision,Theory,,
3,C2,BMAT-003C,Statistical Techniques,Theory,,
3,C2,BHUM-118,Human Value & Ethics,Theory,,
3,C2,BET-I,Employability Training-I,Training,,
3,D1,BCSE-501,Data Structure and Algorithms,Theory,,
3,D1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,D1,BCSE-502,Software Engineering,Theory,,
3,D1,BCSE-502L,Software Engineering Lab,Lab,,
3,D1,BCSE-503,Database Management System,Theory,,
3,D1,BCSE-503L,Database Management System Lab,Lab,,
3,D1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,D1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,D1,BCSE-505,Discrete Structures,Theory,,
3,D1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,D1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,D1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,D1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,D1,BCSE-856,Computer Vision,Theory,,
3,D1,BMAT-003C,Statistical Techniques,Theory,,
3,D1,BHUM-118,Human Value & Ethics,Theory,,
3,D1,BET-I,Employability Training-I,Training,,
3,D2,BCSE-501,Data Structure and Algorithms,Theory,,
3,D2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,D2,BCSE-502,Software Engineering,Theory,,
3,D2,BCSE-502L,Software Engineering Lab,Lab,,
3,D2,BCSE-503,Database Management System,Theory,,
3,D2,BCSE-503L,Database Management System Lab,Lab,,
3,D2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,D2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,D2,BCSE-505,Discrete Structures,Theory,,
3,D2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,D2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,D2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,D2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,D2,BCSE-856,Computer Vision,Theory,,
3,D2,BMAT-003C,Statistical Techniques,Theory,,
3,D2,BHUM-118,Human Value & Ethics,Theory,,
3,D2,BET-I,Employability Training-I,Training,,
3,E1,BCSE-501,Data Structure and Algorithms,Theory,,
3,E1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,E1,BCSE-502,Software Engineering,Theory,,
3,E1,BCSE-502L,Software Engineering Lab,Lab,,
3,E1,BCSE-503,Database Management System,Theory,,
3,E1,BCSE-503L,Database Management System Lab,Lab,,
3,E1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,E1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,E1,BCSE-505,Discrete Structures,Theory,,
3,E1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,E1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,E1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,E1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,E1,BCSE-856,Computer Vision,Theory,,
3,E1,BMAT-003C,Statistical Techniques,Theory,,
3,E1,BHUM-118,Human Value & Ethics,Theory,,
3,E1,BET-I,Employability Training-I,Training,,
3,E2,BCSE-501,Data Structure and Algorithms,Theory,,
3,E2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,E2,BCSE-502,Software Engineering,Theory,,
3,E2,BCSE-502L,Software Engineering Lab,Lab,,
3,E2,BCSE-503,Database Management System,Theory,,
3,E2,BCSE-503L,Database Management System Lab,Lab,,
3,E2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,E2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,E2,BCSE-505,Discrete Structures,Theory,,
3,E2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,E2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,E2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,E2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,E2,BCSE-856,Computer Vision,Theory,,
3,E2,BMAT-003C,Statistical Techniques,Theory,,
3,E2,BHUM-118,Human Value & Ethics,Theory,,
3,E2,BET-I,Employability Training-I,Training,,
3,F1,BCSE-501,Data Structure and Algorithms,Theory,,
3,F1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,F1,BCSE-502,Software Engineering,Theory,,
3,F1,BCSE-502L,Software Engineering Lab,Lab,,
3,F1,BCSE-503,Database Management System,Theory,,
3,F1,BCSE-503L,Database Management System Lab,Lab,,
3,F1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,F1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,F1,BCSE-505,Discrete Structures,Theory,,
3,F1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,F1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,F1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,F1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,F1,BCSE-856,Computer Vision,Theory,,
3,F1,BMAT-003C,Statistical Techniques,Theory,,
3,F1,BHUM-118,Human Value & Ethics,Theory,,
3,F1,BET-I,Employability Training-I,Training,,
3,F2,BCSE-501,Data Structure and Algorithms,Theory,,
3,F2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,F2,BCSE-502,Software Engineering,Theory,,
3,F2,BCSE-502L,Software Engineering Lab,Lab,,
3,F2,BCSE-503,Database Management System,Theory,,
3,F2,BCSE-503L,Database Management System Lab,Lab,,
3,F2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,F2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,F2,BCSE-505,Discrete Structures,Theory,,
3,F2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,F2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,F2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,F2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,F2,BCSE-856,Computer Vision,Theory,,
3,F2,BMAT-003C,Statistical Techniques,Theory,,
3,F2,BHUM-118,Human Value & Ethics,Theory,,
3,F2,BET-I,Employability Training-I,Training,,
3,G1,BCSE-501,Data Structure and Algorithms,Theory,,
3,G1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,G1,BCSE-502,Software Engineering,Theory,,
3,G1,BCSE-502L,Software Engineering Lab,Lab,,
3,G1,BCSE-503,Database Management System,Theory,,
3,G1,BCSE-503L,Database Management System Lab,Lab,,
3,G1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,G1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,G1,BCSE-505,Discrete Structures,Theory,,
3,G1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,G1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,G1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,G1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,G1,BCSE-856,Computer Vision,Theory,,
3,G1,BMAT-003C,Statistical Techniques,Theory,,
3,G1,BHUM-118,Human Value & Ethics,Theory,,
3,G1,BET-I,Employability Training-I,Training,,
3,G2,BCSE-501,Data Structure and Algorithms,Theory,,
3,G2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,G2,BCSE-502,Software Engineering,Theory,,
3,G2,BCSE-502L,Software Engineering Lab,Lab,,
3,G2,BCSE-503,Database Management System,Theory,,
3,G2,BCSE-503L,Database Management System Lab,Lab,,
3,G2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,G2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,G2,BCSE-505,Discrete Structures,Theory,,
3,G2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,G2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,G2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,G2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,G2,BCSE-856,Computer Vision,Theory,,
3,G2,BMAT-003C,Statistical Techniques,Theory,,
3,G2,BHUM-118,Human Value & Ethics,Theory,,
3,G2,BET-I,Employability Training-I,Training,,
3,H1,BCSE-501,Data Structure and Algorithms,Theory,,
3,H1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,H1,BCSE-502,Software Engineering,Theory,,
3,H1,BCSE-502L,Software Engineering Lab,Lab,,
3,H1,BCSE-503,Database Management System,Theory,,
3,H1,BCSE-503L,Database Management System Lab,Lab,,
3,H1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,H1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,H1,BCSE-505,Discrete Structures,Theory,,
3,H1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,H1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,H1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,H1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,H1,BCSE-856,Computer Vision,Theory,,
3,H1,BMAT-003C,Statistical Techniques,Theory,,
3,H1,BHUM-118,Human Value & Ethics,Theory,,
3,H1,BET-I,Employability Training-I,Training,,
3,H2,BCSE-501,Data Structure and Algorithms,Theory,,
3,H2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,H2,BCSE-502,Software Engineering,Theory,,
3,H2,BCSE-502L,Software Engineering Lab,Lab,,
3,H2,BCSE-503,Database Management System,Theory,,
3,H2,BCSE-503L,Database Management System Lab,Lab,,
3,H2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,H2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,H2,BCSE-505,Discrete Structures,Theory,,
3,H2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,H2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,H2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,H2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,H2,BCSE-856,Computer Vision,Theory,,
3,H2,BMAT-003C,Statistical Techniques,Theory,,
3,H2,BHUM-118,Human Value & Ethics,Theory,,
3,H2,BET-I,Employability Training-I,Training,,
3,I1,BCSE-501,Data Structure and Algorithms,Theory,,
3,I1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,I1,BCSE-502,Software Engineering,Theory,,
3,I1,BCSE-502L,Software Engineering Lab,Lab,,
3,I1,BCSE-503,Database Management System,Theory,,
3,I1,BCSE-503L,Database Management System Lab,Lab,,
3,I1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,I1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,I1,BCSE-505,Discrete Structures,Theory,,
3,I1,BCSE-854,Introduction to Generative AI Models,Theory,,
